,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,Igarka,67.47,86.58,-10.89,96,100,4.63,RU,1604944919
311,Nakonde,-9.34,32.74,22.51,44,14,5.39,ZM,1604944919
312,Airai,-8.93,125.41,16.43,88,100,1.08,TL,1604944827
313,Merauke,-8.47,140.33,26.23,80,100,6.32,ID,1604944919
314,Fortuna,40.6,-124.16,8.33,86,1,2.1,US,1604944919
315,Chui,-33.7,-53.46,19.91,66,100,5.26,UY,1604944920
316,Glendive,47.11,-104.71,-6.67,79,90,7.7,US,1604944920
317,Adrar,20.5,-10.07,30.86,12,0,3.35,MR,1604944920
318,Birao,10.28,22.79,26.6,29,12,2.09,CF,1604944920
319,Bumba,2.18,22.47,22.58,96,100,1.24,CD,1604944921
320,Ternate,0.8,127.4,26.94,77,70,1.79,ID,1604944921
321,La Libertad,-2.23,-80.9,25.0,65,40,5.1,EC,1604944921
322,Port Maria,18.37,-76.89,30.56,84,1,3.13,JM,1604944921
323,Mahon,39.89,4.27,17.0,88,40,2.1,ES,1604944922
324,Reserva,-24.65,-50.85,32.06,28,54,3.11,BR,1604944771
325,Bollnäs,61.35,16.39,3.46,82,88,1.1,SE,1604944922
326,Lompoc,34.64,-120.46,12.0,65,1,4.53,US,1604944793
327,Yangi Marg`ilon,40.43,71.72,4.0,86,40,2.1,UZ,1604944922
328,Sola,-13.88,167.55,27.46,81,95,4.93,VU,1604944923
329,Skjervøy,70.03,20.97,3.0,59,75,10.3,NO,1604944923
330,Milići,44.17,19.09,5.0,100,90,0.5,BA,1604944923
331,Smithers,54.78,-127.17,-2.0,92,90,2.1,CA,1604944788
332,Saravena,6.95,-71.88,32.23,48,27,1.16,CO,1604944923
333,Bubaque,11.28,-15.83,28.49,75,12,4.67,GW,1604944924
334,Klaksvík,62.23,-6.59,10.0,100,88,7.2,FO,1604944924
335,Anakapalle,17.68,83.02,23.0,78,0,1.0,IN,1604944924
336,Toamasina,-18.17,49.38,22.0,94,40,2.1,MG,1604944924
337,Krasnosel'kup,65.7,82.47,-13.13,95,84,2.95,RU,1604944924
338,Kushiro,42.98,144.37,2.05,84,65,5.06,JP,1604944925
339,Yei,4.09,30.68,21.22,91,56,1.0,SS,1604944925
340,Hīt,33.64,42.83,20.8,48,50,3.25,IQ,1604944873
341,Săcele,45.62,25.69,6.11,87,31,0.45,RO,1604944925
342,Anadyr,64.75,177.48,-1.0,80,40,12.0,RU,1604944925
343,Idaho Falls,43.47,-112.03,-2.78,79,90,1.5,US,1604944658
344,Okhotsk,59.38,143.3,-16.41,87,24,8.6,RU,1604944926
345,Innisfail,-17.53,146.03,22.74,87,71,2.51,AU,1604944763
346,Port Hedland,-20.32,118.57,25.0,73,0,5.7,AU,1604944817
347,Rosetta,31.4,30.42,21.0,73,40,1.5,EG,1604944926
348,Płońsk,52.62,20.38,8.0,75,75,1.5,PL,1604944926
349,Nísia Floresta,-6.09,-35.21,27.0,78,75,7.2,BR,1604944927
350,Yar-Sale,66.83,70.83,-13.75,94,99,3.48,RU,1604944927
351,Aguadilla,18.43,-67.15,30.0,83,75,3.6,PR,1604944927
352,San Juan Pueblo,15.58,-87.23,31.0,74,75,2.1,HN,1604944928
353,Iquique,-20.22,-70.14,20.0,60,40,5.7,CL,1604944772
354,Payakumbuh,-0.22,100.63,21.61,90,100,0.88,ID,1604944928
355,Santa Isabel Rio Negro,-0.41,-65.02,33.31,54,85,0.83,BR,1604944928
356,Nizhnyaya Tavda,57.67,66.17,-1.58,98,85,3.81,RU,1604944928
357,Gaoua,10.3,-3.25,29.46,22,83,2.2,BF,1604944929
358,Ahipara,-35.17,173.17,12.21,88,40,3.53,NZ,1604944929
359,Araguaína,-7.19,-48.21,34.4,38,73,2.85,BR,1604944929
360,Henties Bay,-22.12,14.28,15.56,78,0,2.68,NA,1604944929
361,Thinadhoo,0.53,72.93,28.83,71,98,4.68,MV,1604944929
362,Mauá,-23.67,-46.46,28.0,54,0,5.7,BR,1604944790
363,Miami,25.77,-80.19,29.44,78,75,8.7,US,1604944309
364,Kaberamaido,1.74,33.16,21.06,82,94,1.03,UG,1604944930
365,Coquimbo,-29.95,-71.34,16.0,72,75,5.1,CL,1604944821
366,Antofagasta,-23.65,-70.4,20.0,56,24,3.93,CL,1604944753
367,Vila Velha,-20.33,-40.29,30.0,66,20,7.7,BR,1604944560
368,Ufa,54.77,56.04,2.0,64,90,6.0,RU,1604944931
369,Murgab,37.5,61.97,9.0,70,8,2.1,TM,1604944931
